Time (h),U1 (V),U2 (V),U3 (V),U4 (V),U5 (V),Utot (V),J (A/cmｲ),I (A),TinH2 (C),ToutH2 (C),TinAIR (C),ToutAIR (C),TinWAT (C),ToutWAT (C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
0,0.671298942,0.66496693,0.665474609,0.663940001,0.659821229,3.317,0.70164,70.164,25.93,38.889,41.918,51.503,53.806,55.502,1302.204,1269.602,1305.319,1292.489,4.799,2.115,23.038,21.331,2.02,48.904
0.5,0.672141786,0.666126309,0.666339414,0.665061985,0.660894714,3.334,0.70159,70.159,26.445,40.641,42.305,51.609,53.799,55.419,1300.327,1267.325,1302.296,1289.983,4.798,2.115,23.039,21.405,2.004,49.574
1,0.67307899,0.667325607,0.667248041,0.666206768,0.662034356,3.339,0.70159,70.159,27.035,41.134,42.287,51.608,53.665,55.24,1299.019,1266.643,1300.015,1287.021,4.799,2.113,23.036,21.407,2.055,50.052
1.5,0.673972276,0.668356703,0.668072749,0.667188996,0.663078156,3.343,0.70164,70.164,27.035,40.866,42.25,51.726,53.804,55.488,1299.076,1266.244,1300.015,1287.705,4.798,2.136,23.015,21.405,1.978,49.691
2,0.674728046,0.669102337,0.668745707,0.667927643,0.663929926,3.346,0.70164,70.164,26.986,41.008,42.287,51.63,53.797,55.469,1300.441,1267.724,1301.897,1288.958,4.798,2.113,23.036,21.333,2.013,49.531
2.5,0.675314064,0.66955912,0.669254681,0.668439147,0.664559624,3.35,0.70159,70.159,26.969,40.996,42.475,51.666,53.794,55.446,1301.92,1269.147,1296.422,1283.091,4.795,2.114,23.039,21.331,2.027,49.925
3,0.675747368,0.669806756,0.669622691,0.668780263,0.664981954,3.351,0.70144,70.144,26.936,40.995,42.253,51.686,53.787,55.439,1300.725,1267.838,1301.156,1288.274,4.798,2.113,23.038,21.464,2.074,49.781
3.5,0.676076063,0.669955453,0.669887045,0.669004688,0.66524555,3.349,0.70159,70.159,26.882,40.992,42.145,51.574,53.625,55.144,1301.749,1268.521,1299.103,1285.426,4.8,2.114,23.036,21.405,2.02,50.334
4,0.676349159,0.670084858,0.670068912,0.669147766,0.665415024,3.35,0.70159,70.159,26.842,41.195,42.342,51.736,53.814,55.448,1301.237,1268.919,1297.791,1284.401,4.799,2.093,23.039,21.405,2.038,49.73
4.5,0.676585334,0.670205386,0.670160382,0.669234598,0.665542503,3.354,0.70159,70.159,26.853,40.998,42.396,51.724,53.863,55.477,1299.645,1267.382,1301.156,1288.901,4.799,2.114,23.038,21.456,2.035,49.751
5,0.676772047,0.670283232,0.670156205,0.669302982,0.665662293,3.354,0.70159,70.159,26.882,41.062,42.165,51.661,53.827,55.482,1300.327,1267.439,1308.912,1295.565,4.8,2.319,23.038,21.407,2.046,49.54
5.5,0.676893471,0.670306224,0.670092686,0.669406752,0.665808283,3.351,0.70164,70.164,26.862,40.856,42.155,51.63,53.555,55.154,1300.725,1267.895,1296.594,1283.148,4.799,2.114,23.036,21.407,2.023,50.304
6,0.676950037,0.670309454,0.670031084,0.669574593,0.666009208,3.351,0.70164,70.164,26.766,40.997,42.246,51.581,53.827,55.45,1301.465,1268.691,1295.852,1283.148,4.8,2.136,22.981,21.399,2.046,49.677
6.5,0.67695054,0.670335338,0.669996071,0.669765229,0.666257248,3.353,0.70159,70.159,26.572,40.815,42.178,51.549,53.6,55.119,1300.498,1267.496,1302.353,1289.755,4.799,2.116,23.036,21.403,2.022,50.282
7,0.676896694,0.670392922,0.669953167,0.669885641,0.666496498,3.357,0.70164,70.164,26.448,40.676,42.287,51.603,53.761,55.422,1300.327,1266.87,1302.525,1289.926,4.795,2.117,23.036,21.401,2.038,49.691
7.5,0.676786317,0.670468004,0.669863598,0.669870597,0.666656082,3.354,0.70159,70.159,26.407,40.445,42.249,51.658,53.786,55.432,1301.237,1268.407,1303.494,1290.894,4.801,2.136,23.036,21.401,2.058,49.805
8,0.676635934,0.670555469,0.669746813,0.669745941,0.666699966,3.354,0.70159,70.159,26.367,40.728,42.247,51.637,53.857,55.453,1300.213,1267.553,1301.726,1289.926,4.798,2.116,23.034,21.403,2.051,49.625
8.5,0.676494604,0.670665402,0.669675062,0.669612774,0.66665345,3.352,0.70164,70.164,26.41,40.4,42.215,51.655,53.839,55.47,1298.507,1266.301,1302.41,1289.869,4.818,2.116,23.036,21.399,2.028,49.386
9,0.676420518,0.670798848,0.669713593,0.669566286,0.666585137,3.351,0.70159,70.159,26.405,40.547,42.215,51.644,53.816,55.468,1298.905,1267.269,1301.156,1289.527,4.8,2.114,23.038,21.407,2.061,49.398
9.5,0.676433807,0.670922974,0.669862362,0.669620689,0.666554594,3.351,0.70159,70.159,26.402,40.442,42.33,51.542,53.744,55.34,1302.716,1269.829,1301.498,1288.787,4.797,2.114,23.038,21.401,2.049,49.928
10,0.676496915,0.670971337,0.670042157,0.669709149,0.666571782,3.357,0.70168,70.168,26.394,41.158,42.366,51.608,53.768,55.308,1301.977,1268.577,1303.266,1290.211,4.8,2.116,23.036,21.403,2.02,50.07
10.5,0.676545309,0.670878993,0.670143022,0.669755829,0.666606219,3.357,0.70159,70.159,26.465,40.772,42.4,51.624,53.855,55.463,1300.668,1267.496,1303.323,1290.894,4.796,2.115,23.036,21.403,2.074,49.818
11,0.67652979,0.670636888,0.670100382,0.669736421,0.666623829,3.352,0.70164,70.164,26.501,40.404,42.218,51.594,53.79,55.383,1301.635,1268.691,1302.182,1288.844,4.798,2.114,23.036,21.403,2.05,50.132
11.5,0.676432009,0.670316372,0.669927976,0.669666132,0.666602177,3.354,0.70159,70.159,26.501,40.503,42.238,51.71,53.87,55.475,1300.612,1268.35,1302.296,1289.926,4.798,2.114,23.036,21.468,2.073,49.815
12,0.676264235,0.670026465,0.669691426,0.669557475,0.666526146,3.353,0.70173,70.173,26.475,40.84,42.266,51.577,53.811,55.422,1300.156,1267.61,1303.38,1290.667,4.799,2.115,23.038,21.399,2.046,49.836
12.5,0.676068046,0.669841406,0.669469064,0.66941654,0.666396093,3.349,0.70164,70.164,26.485,40.484,42.223,51.635,53.875,55.471,1301.863,1269.545,1301.783,1288.559,4.8,2.114,23.036,21.405,2.04,49.69
13,0.675896985,0.669774564,0.669325957,0.669266259,0.666244074,3.352,0.70164,70.164,26.486,41.585,42.218,51.635,53.858,55.433,1298.393,1265.675,1301.27,1288.616,4.8,2.114,23.036,21.397,2.044,49.548
13.5,0.675785901,0.669803178,0.66928892,0.669143649,0.666122533,3.347,0.70164,70.164,26.523,40.826,42.215,51.563,53.792,55.37,1300.043,1267.724,1300.072,1288.559,4.799,2.114,23.036,21.407,2.068,49.741
14,0.675733483,0.669884781,0.669324959,0.669065263,0.666057611,3.349,0.70168,70.168,26.537,40.543,42.253,51.572,53.821,55.432,1300.498,1267.61,1301.783,1289.812,4.818,2.115,23.036,21.333,2.05,49.722
14.5,0.67570434,0.669951943,0.669350864,0.669006987,0.6660116,3.352,0.70168,70.168,26.509,40.703,42.269,51.574,53.847,55.431,1300.441,1267.382,1301.213,1288.787,4.816,2.114,23.036,21.403,2.052,49.678
15,0.675646458,0.669933119,0.669284124,0.668929085,0.665911203,3.352,0.70159,70.159,26.702,40.355,42.308,51.577,53.782,55.405,1298.962,1265.732,1302.639,1290.04,4.799,2.115,23.034,21.331,2.065,49.975
15.5,0.6755245,0.669804269,0.669102075,0.668818694,0.665729316,3.351,0.70168,70.168,26.876,40.101,42.331,51.562,53.817,55.422,1302.489,1269.943,1302.582,1290.382,4.796,2.114,23.039,21.405,2.063,49.909
16,0.675345834,0.669605907,0.668856927,0.668701989,0.6655272,3.346,0.70164,70.164,26.988,40.177,42.298,51.614,53.828,55.45,1302.659,1270.911,1302.296,1289.869,4.798,2.093,23.038,21.405,2.043,49.907
16.5,0.675150132,0.669395394,0.668631607,0.668613674,0.665396106,3.344,0.70159,70.159,27.006,40.407,42.376,51.588,53.808,55.424,1301.465,1269.147,1302.525,1289.755,4.796,2.113,23.036,21.409,2.046,49.718
17,0.674977451,0.66919744,0.668475633,0.668560736,0.665366947,3.348,0.70159,70.159,27.008,40.641,42.417,51.58,53.862,55.464,1300.213,1267.098,1303.437,1290.097,4.796,2.114,23.036,21.407,2.038,49.772
17.5,0.674851463,0.669012289,0.668376974,0.66852663,0.66540044,3.348,0.70154,70.154,27.038,40.432,42.353,51.58,53.827,55.422,1300.839,1268.008,1301.498,1288.388,4.8,2.114,23.038,21.407,2.05,49.922
18,0.674778465,0.668848022,0.668293234,0.668504025,0.665452292,3.343,0.70164,70.164,27.034,40.569,42.299,51.663,53.856,55.473,1300.441,1268.521,1302.011,1288.73,4.799,2.114,23.034,21.407,2.05,50.024
18.5,0.674744195,0.668724534,0.668206164,0.668499323,0.665506465,3.346,0.70159,70.159,27.069,41.43,42.211,51.597,53.796,55.339,1303.114,1270.626,1301.327,1289.47,4.8,2.093,23.038,21.473,2.046,50.098
19,0.674723417,0.668668046,0.6681414,0.668509271,0.665547667,3.346,0.70159,70.159,27.134,40.916,42.313,51.598,53.771,55.402,1298.336,1265.391,1302.41,1289.527,4.798,2.114,23.036,21.399,2.069,50.039
19.5,0.674714091,0.668716113,0.668141283,0.668525624,0.665551461,3.346,0.70164,70.164,26.982,40.947,42.348,51.579,53.799,55.291,1299.588,1266.358,1300.072,1286.85,4.799,2.114,23.034,21.344,2.058,50.245
20,0.674754678,0.668898463,0.668233747,0.668568058,0.665526803,3.345,0.70159,70.159,26.884,40.545,42.168,51.66,53.815,55.408,1300.555,1267.781,1301.156,1287.42,4.799,2.114,23.038,21.407,2.057,49.983
20.5,0.6748858,0.66918816,0.668423898,0.668680855,0.665539081,3.342,0.70154,70.154,26.818,40.883,42.221,51.746,53.889,55.476,1299.645,1267.496,1302.068,1288.901,4.799,2.114,23.036,21.409,2.076,49.645
21,0.67509525,0.66949379,0.668683933,0.668880094,0.665660426,3.351,0.70164,70.164,26.809,40.775,42.233,51.66,53.888,55.443,1299.36,1266.244,1303.665,1291.122,4.799,2.114,23.038,21.335,2.08,49.582
21.5,0.67531659,0.669724324,0.668939282,0.669118261,0.665900601,3.347,0.70159,70.159,26.8,40.898,42.238,51.675,53.851,55.452,1300.1,1266.984,1299.901,1286.395,4.801,2.11,23.036,21.407,2.079,49.798
22,0.675480985,0.669858233,0.669096294,0.669314813,0.66620197,3.354,0.70164,70.164,26.855,41.329,42.177,51.656,53.805,55.413,1300.043,1266.756,1295.282,1282.066,4.797,2.114,23.036,21.473,2.05,49.889
22.5,0.67556448,0.669943055,0.669116617,0.669423045,0.666498785,3.352,0.70154,70.154,26.963,41.042,42.318,51.813,53.89,55.48,1302.659,1269.829,1304.635,1292.204,4.8,2.114,23.036,21.405,2.039,50.042
23,0.675595033,0.67003677,0.669064354,0.669466763,0.666766136,3.348,0.70154,70.154,27.365,41.151,42.38,51.757,53.865,55.413,1300.1,1267.041,1300.414,1287.932,4.8,2.155,23.038,21.377,2.046,50.094
23.5,0.675627045,0.67015415,0.669064451,0.669512961,0.667008552,3.351,0.70144,70.144,27.714,41.741,42.418,51.855,53.883,55.464,1298.791,1266.472,1295.396,1282.863,4.797,2.053,23.039,21.403,2.064,50.085
24,0.67570818,0.670267464,0.66920688,0.669613927,0.667225531,3.352,0.70129,70.129,27.922,41.993,42.455,51.898,53.926,55.475,1299.701,1267.781,1295.282,1282.294,4.796,2.111,23.038,21.407,2.062,50.037
24.5,0.675859658,0.67035164,0.669488607,0.66977931,0.667412042,3.352,0.7012,70.12,28.127,41.764,42.353,51.887,53.921,55.487,1300.839,1268.065,1300.186,1287.819,4.796,2.092,22.982,21.407,2.065,49.881
25,0.676073591,0.670416117,0.669833718,0.669987923,0.667579297,3.356,0.70139,70.139,28.345,42.234,42.328,51.954,53.894,55.462,1300.213,1266.643,1296.936,1284.002,4.795,2.072,23.043,21.409,2.065,49.997
25.5,0.676317907,0.670487801,0.670152124,0.670202779,0.667744383,3.351,0.70144,70.144,28.482,42.044,42.293,51.958,53.883,55.466,1297.938,1265.846,1296.194,1282.977,4.804,2.114,23.038,21.405,2.066,50.02
26,0.676543463,0.670574307,0.670381847,0.670376316,0.667894478,3.359,0.70124,70.124,28.712,42.179,42.46,51.896,53.845,55.455,1298.905,1264.992,1302.239,1289.983,4.797,2.072,23.039,21.483,2.074,49.955
26.5,0.676701309,0.670658209,0.670502877,0.670473817,0.667983139,3.359,0.70124,70.124,28.873,42.035,42.437,51.984,53.915,55.419,1299.474,1266.358,1304.578,1291.293,4.797,2.092,23.039,21.405,2.069,50.303
27,0.676770771,0.670722504,0.670532884,0.670509657,0.667978738,3.355,0.70134,70.134,28.894,41.957,42.38,52.007,53.073,55.474,1299.758,1267.951,1304.863,1292.261,4.797,2.091,23.039,21.483,2.034,49.992
27.5,0.676773565,0.67076534,0.670505572,0.670540634,0.667906842,3.358,0.70154,70.154,28.816,42.031,42.385,51.918,53.752,55.25,1300.327,1268.122,1302.867,1290.097,4.776,2.092,23.036,21.481,2.028,50.498
28,0.676750495,0.670790141,0.67044497,0.670604127,0.667828585,3.353,0.70154,70.154,28.561,41.581,42.328,51.767,53.757,55.302,1299.474,1267.041,1304.692,1292.204,4.796,2.114,23.043,21.405,2.02,50.197
28.5,0.676718073,0.670792741,0.670360118,0.670669997,0.667781265,3.359,0.70159,70.159,28.153,41.791,42.33,51.849,53.464,55.458,1301.01,1267.553,1296.651,1283.376,4.798,2.055,23.039,21.405,1.991,49.735
29,0.676654719,0.670763212,0.67025896,0.670664673,0.667755373,3.356,0.70159,70.159,27.891,41.334,42.388,51.611,53.722,55.383,1300.668,1267.098,1301.897,1288.901,4.8,2.072,23.038,21.405,2.023,50.085
29.5,0.67653706,0.670692319,0.670152069,0.670547838,0.667725526,3.358,0.70159,70.159,27.694,41.072,42.168,51.688,53.784,55.448,1297.483,1265.106,1301.897,1289.015,4.799,2.092,23.038,21.403,2.04,49.606
30,0.676381595,0.670575091,0.670035344,0.67036551,0.667681707,3.353,0.70149,70.149,27.546,41.37,42.443,51.753,53.839,55.491,1296.573,1264.992,1303.665,1291.179,4.8,2.114,23.039,21.405,2.047,49.955
30.5,0.676240176,0.670420065,0.669884813,0.670221862,0.667626733,3.354,0.70159,70.159,27.364,41.331,42.406,51.699,53.798,55.426,1300.782,1268.805,1303.722,1291.179,4.8,2.114,23.036,21.471,2.056,49.879
31,0.676156516,0.670264758,0.669687802,0.670198459,0.667567853,3.356,0.70154,70.154,27.491,41.421,42.279,51.665,53.714,55.254,1299.815,1266.586,1301.783,1289.243,4.799,2.091,23.036,21.329,2.032,50.476
31.5,0.676129315,0.67017112,0.669469943,0.670295531,0.667518598,3.35,0.70154,70.154,27.333,40.924,42.191,51.666,53.803,55.408,1298.621,1266.984,1299.16,1285.369,4.799,2.135,23.038,21.407,2.076,49.98
32,0.676111142,0.670185497,0.669267124,0.670427764,0.667485356,3.352,0.70164,70.164,27.222,41.222,42.165,51.704,53.832,55.475,1299.474,1266.927,1305.604,1293.059,4.795,2.112,23.036,21.405,2.038,49.719
32.5,0.676042157,0.670289171,0.669077886,0.67046785,0.667442486,3.357,0.70164,70.164,27.205,41.133,42.232,51.716,53.877,55.476,1301.692,1268.919,1303.38,1289.926,4.8,2.114,23.038,21.473,2.061,49.981
33,0.675894108,0.670393907,0.668868197,0.67032554,0.667344228,3.355,0.70159,70.159,27.189,41.298,42.347,51.729,53.881,55.459,1298.962,1266.244,1304.578,1291.236,4.795,2.093,23.017,21.401,2.047,49.8
33.5,0.675683653,0.670401347,0.668616577,0.670014726,0.667175163,3.351,0.70164,70.164,27.17,40.972,42.368,51.678,53.853,55.484,1299.531,1266.756,1299.958,1286.452,4.798,2.092,23.036,21.331,2.038,50.03
34,0.675441218,0.670275501,0.668334433,0.66963922,0.666971669,3.352,0.70159,70.159,27.189,41.197,42.154,51.573,53.684,55.312,1300.555,1267.212,1304.578,1291.521,4.8,2.114,23.038,21.401,2.035,50.25
34.5,0.675176036,0.670057223,0.668055368,0.669304432,0.666780781,3.347,0.70164,70.164,27.194,41.032,42.215,51.622,53.792,55.385,1299.986,1267.439,1300.015,1287.192,4.8,2.158,23.036,21.403,2.047,50.06
35,0.674879244,0.669811608,0.6678199,0.669044088,0.666608502,3.348,0.70159,70.159,27.209,41.308,42.198,51.647,53.802,55.445,1298.45,1266.699,1304.863,1292.375,4.801,2.136,23.036,21.405,2.016,49.918
35.5,0.674557209,0.669576551,0.667658405,0.668825233,0.666424534,3.349,0.70164,70.164,27.212,41.213,42.142,51.662,53.743,55.395,1298.791,1267.041,1301.042,1288.901,4.801,2.158,23.038,21.397,2.038,49.73
36,0.674254312,0.669362432,0.667574935,0.668605478,0.666214885,3.345,0.70154,70.154,27.222,41.075,42.272,51.611,53.743,55.345,1300.043,1267.838,1301.498,1289.3,4.797,2.114,23.036,21.403,2.051,50.084
36.5,0.674033717,0.669172451,0.66754489,0.668376187,0.666012565,3.344,0.70154,70.154,27.203,42.196,42.18,51.564,53.767,55.38,1299.019,1266.472,1305.604,1293.344,4.797,2.097,23.038,21.403,2.066,49.809
37,0.673927774,0.669003222,0.667522877,0.668158191,0.665866292,3.343,0.70159,70.159,27.153,41.25,42.204,51.646,52.965,55.423,1300.612,1267.951,1304.635,1292.66,4.797,2.136,23.034,21.401,2.008,49.879
37.5,0.673911883,0.668842255,0.667455844,0.667975401,0.665788986,3.345,0.70159,70.159,27.254,41.142,42.267,51.607,53.892,55.446,1299.474,1266.301,1296.594,1284.287,4.797,2.135,23.036,21.405,2.063,49.858
38,0.673931211,0.668687095,0.667313038,0.667842432,0.665751277,3.345,0.70164,70.164,27.378,41.249,42.296,51.755,53.832,55.461,1300.156,1267.838,1305.262,1292.489,4.799,2.135,23.039,21.405,2.068,49.905
38.5,0.67394894,0.668562315,0.667123483,0.667767763,0.665726376,3.342,0.70154,70.154,27.466,41.104,42.334,51.687,53.818,55.429,1299.872,1266.301,1297.677,1284.116,4.799,2.093,23.039,21.403,2.05,49.929
39,0.673971272,0.668503502,0.666975006,0.667752661,0.665726939,3.341,0.70159,70.159,27.524,40.637,42.322,51.58,53.806,55.407,1301.01,1268.407,1304.235,1290.268,4.798,2.156,23.038,21.47,2.034,50.017
39.5,0.674034559,0.668524289,0.666954711,0.667788919,0.665788927,3.344,0.70159,70.159,27.56,40.625,42.22,51.63,53.817,55.419,1299.303,1266.984,1303.266,1291.065,4.837,2.07,23.036,21.407,2.026,49.956
40,0.674161872,0.668603361,0.667077585,0.667864405,0.66592423,3.339,0.70159,70.159,27.595,40.944,42.226,51.644,53.817,55.425,1298.336,1266.586,1296.708,1284.23,4.797,2.051,23.038,21.407,2.042,49.656
40.5,0.674320395,0.668694232,0.667267253,0.667968391,0.666095246,3.348,0.70164,70.164,27.564,41.436,42.34,51.733,53.896,55.477,1298.109,1265.22,1305.946,1293.571,4.797,2.114,23.039,21.397,2.037,49.929
41,0.674430559,0.668742732,0.667408867,0.668087605,0.666233021,3.345,0.70159,70.159,27.469,40.815,42.289,51.655,53.781,55.453,1300.498,1268.122,1304.521,1291.521,4.796,2.171,23.036,21.403,2.02,49.813
41.5,0.674431671,0.668711449,0.667434457,0.668198371,0.666276103,3.348,0.70159,70.159,27.347,40.755,42.269,51.658,53.899,55.497,1300.1,1266.756,1305.547,1292.603,4.8,2.092,23.039,21.405,2.032,49.826
42,0.674334351,0.668608132,0.667368465,0.668267975,0.666201436,3.344,0.70164,70.164,27.422,41.484,42.353,51.698,53.808,55.425,1297.938,1266.415,1295.681,1283.148,4.799,2.135,23.038,21.409,2.069,50.304
42.5,0.674201763,0.668491885,0.667295735,0.668271651,0.666039018,3.345,0.70168,70.168,27.478,41.625,42.194,51.643,53.901,55.452,1301.579,1267.951,1305.091,1293.401,4.797,2.092,23.038,21.403,2.05,49.955
43,0.674089607,0.668436467,0.667286201,0.668211584,0.665863002,3.342,0.70159,70.159,27.453,41.237,42.316,51.559,53.844,55.454,1300.043,1268.008,1296.594,1283.148,4.8,2.134,23.038,21.405,2.065,50.139
43.5,0.67401098,0.668471202,0.667343394,0.66811407,0.665747257,3.342,0.70164,70.164,27.425,41.174,42.29,51.704,53.909,55.481,1300.213,1268.805,1305.547,1292.774,4.799,2.092,23.036,21.399,2.072,49.724
44,0.67394894,0.668553712,0.667414426,0.668007421,0.665712244,3.345,0.70164,70.164,27.46,40.943,42.402,51.687,53.901,55.473,1299.815,1266.7,1294.369,1281.268,4.8,2.134,23.036,21.405,2.035,49.974
44.5,0.673891503,0.668604083,0.667446145,0.667910641,0.665723617,3.345,0.70164,70.164,27.595,40.875,42.464,51.723,53.875,55.435,1301.237,1267.895,1303.437,1291.008,4.8,2.105,23.039,21.401,2.02,50.091
45,0.673856969,0.668570151,0.667432347,0.667845219,0.665747351,3.344,0.70159,70.159,27.616,41.116,42.503,51.649,53.866,55.45,1302.034,1269.09,1295.681,1282.92,4.799,2.114,23.036,21.447,2.046,50.316
