Time (h),U1 (V),U2 (V),U3 (V),U4 (V),U5 (V),Utot (V),J (A/cmｲ),I (A),TinH2 (C),ToutH2 (C),TinAIR (C),ToutAIR (C),TinWAT (C),ToutWAT (C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
0,0.669921281,0.666102895,0.664538699,0.666036271,0.66136128,3.325,0.69978,69.978,24.537,36.712,43.217,49.698,52.727,54.481,1299.531,1263.399,1296.308,1282.863,4.793,2.128,23.038,21.329,2.014,54.351
0.5,0.670414454,0.666655441,0.664766022,0.666160026,0.661493712,3.33,0.69988,69.988,24.697,37.93,43.336,51.184,53.702,55.452,1298.621,1264.708,1300.072,1286.907,4.815,2.126,23.036,21.265,2.005,52.059
1,0.670838791,0.667074688,0.66485951,0.666311128,0.661539626,3.335,0.69993,69.993,24.671,37.761,43.316,51.206,53.768,55.45,1303.001,1268.464,1301.612,1288.844,4.801,2.109,23.077,21.331,1.981,52.059
1.5,0.671071047,0.667223875,0.664739034,0.666400407,0.661455736,3.336,0.69988,69.988,24.764,37.654,43.116,51.228,53.778,55.46,1297.54,1263.399,1299.616,1285.255,4.795,2.106,23.036,21.261,1.983,52
2,0.671096794,0.66712379,0.664441572,0.666353212,0.661249343,3.33,0.70007,70.007,24.803,37.528,43.108,51.127,53.739,55.475,1300.725,1266.643,1300.757,1287.762,4.795,2.108,23.036,21.325,1.959,51.917
2.5,0.671010199,0.666930961,0.664084293,0.666165986,0.660959238,3.327,0.69988,69.988,24.836,37.355,43.169,51.168,53.716,55.436,1299.531,1264.992,1300.015,1286.508,4.814,2.103,23.034,21.265,1.956,51.913
3,0.670917827,0.666805569,0.663753534,0.665894485,0.66062623,3.327,0.69997,69.997,24.853,37.559,43.284,51.202,53.714,55.455,1296.573,1263.171,1302.239,1289.812,4.794,2.125,23.039,21.331,2.043,51.851
3.5,0.670853102,0.666790802,0.663449247,0.66559564,0.660287469,3.327,0.70007,70.007,24.841,37.325,43.289,51.228,53.722,55.469,1297.483,1263.513,1300.015,1286.565,4.794,2.121,23.036,21.204,2.036,51.934
4,0.670782121,0.666808812,0.663133606,0.665290291,0.659982861,3.328,0.70027,70.027,24.798,37.3,43.298,51.325,53.754,55.498,1300.498,1266.472,1298.932,1285.597,4.794,2.109,23.036,21.329,2.039,52.045
4.5,0.670661964,0.666761062,0.662801703,0.664972736,0.659744231,3.325,0.70022,70.022,24.77,37.711,43.342,51.142,53.645,55.372,1298.791,1265.448,1297.734,1284.287,4.794,2.105,23.038,21.2,2.051,52.522
5,0.670474368,0.666614149,0.662492152,0.664634373,0.659571752,3.322,0.70002,70.002,24.735,37.694,43.238,51.217,53.682,55.382,1301.351,1267.496,1300.186,1287.534,4.793,2.122,23.034,21.265,2.027,52.265
5.5,0.670226538,0.666394823,0.662244776,0.664271789,0.659426233,3.324,0.69993,69.993,24.821,37.878,43,51.254,53.713,55.413,1299.189,1265.846,1298.019,1284.287,4.797,2.102,23.036,21.263,1.997,51.985
6,0.669951597,0.666142809,0.662058648,0.663891199,0.659250027,3.322,0.70037,70.037,24.893,37.946,43.05,51.183,53.662,55.356,1301.465,1267.212,1300.015,1286.622,4.795,2.128,23.036,21.329,2.032,52.049
6.5,0.669704927,0.665890299,0.661885613,0.663514569,0.659003339,3.319,0.70022,70.022,24.946,37.94,43.111,51.239,53.739,55.43,1298.905,1265.448,1298.59,1287.306,4.795,2.089,23.102,21.287,1.985,52.116
7,0.669529916,0.665663388,0.661664285,0.663170951,0.658692295,3.318,0.70017,70.017,24.926,37.896,42.975,51.234,53.66,55.363,1297.369,1263.797,1297.791,1285.369,4.793,2.109,23.036,21.263,2.027,51.894
